City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
199,Smithers,CA,54.7804,-127.1743,57.52,51,75,10.36,broken clouds
200,Rantauprapat,ID,2.1,99.8333,71.38,84,71,2.13,broken clouds
201,La Ronge,CA,55.1001,-105.2842,64.62,59,75,6.91,broken clouds
202,Dongsheng,CN,39.8161,109.9776,67.71,43,100,13.51,light rain
203,Scarborough,GB,54.2797,-0.4044,57.02,88,24,1.74,few clouds
204,Chippewa Falls,US,44.9369,-91.3929,91.58,33,40,13.98,scattered clouds
205,Lumeje,AO,-11.55,20.7833,56.91,59,54,5.84,broken clouds
206,Novopokrovka,UA,49.8425,36.5477,57.58,95,11,5.57,few clouds
207,Muros,ES,42.7762,-9.0603,60.1,80,48,10.31,scattered clouds
208,Sturgis,US,41.7992,-85.4192,87.84,24,1,14.97,clear sky
209,Yazman,PK,29.1212,71.7446,95.92,27,0,7.76,clear sky
210,Zaria,NG,11.1113,7.7227,74.43,76,87,3.96,light rain
211,Jasper,US,37.2001,-94.3502,81.01,70,90,1.99,overcast clouds
212,Yashalta,RU,46.3395,42.2762,55.94,89,94,8.57,light rain
213,Ilulissat,GL,69.2167,-51.1,39.22,81,69,4.61,broken clouds
214,Cherskiy,RU,68.75,161.3,68.04,35,100,19.39,overcast clouds
215,Hollola,FI,61.05,25.4333,58.01,81,72,3.76,broken clouds
216,Ahipara,NZ,-35.1667,173.1667,61.75,89,100,9.13,moderate rain
217,Whyalla,AU,-33.0333,137.5833,55.29,71,6,14.97,clear sky
218,Hualmay,PE,-11.0964,-77.6139,64.92,83,31,10.69,scattered clouds
219,Georgetown,MY,5.4112,100.3354,79.9,93,20,1.01,few clouds
220,Tual,ID,-5.6667,132.75,81.27,78,100,14.43,overcast clouds
221,Vila Velha,BR,-20.3297,-40.2925,73.35,90,0,1.99,clear sky
222,Pevek,RU,69.7008,170.3133,48.31,66,29,13.11,scattered clouds
