City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
235,Gimli,CA,79.05,scattered clouds,50.6336,-96.9907,Lakeview Gimli Resort
238,Touros,BR,76.1,few clouds,-5.1989,-35.4608,INN NEW HORIZON
239,Soyo,AO,75.51,scattered clouds,-6.1349,12.3689,Hotel Mpampa
245,Kapaa,US,82.72,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
247,Trairi,BR,77.27,few clouds,-3.2778,-39.2689,janelas do mar
248,Sitamau,IN,83.62,scattered clouds,24.0167,75.35,Hotel Kisna
249,Broome,US,87.6,scattered clouds,42.2506,-75.833,Chenango Valley State Park
253,Rock Hill,US,86.74,overcast clouds,34.9249,-81.0251,DDCSVC
256,Fuling,CN,75.16,overcast clouds,29.7022,107.3919,Yingbin Hostel
258,Tucurui,BR,81.25,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
269,Komsomolskiy,UZ,81.82,broken clouds,40.4272,71.7189,Ikathouse
272,Takoradi,GH,79.43,clear sky,4.8845,-1.7554,Raybow International Hotel
273,Alyangula,AU,75.07,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
276,Port Blair,IN,83.75,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
280,Terrace Bay,CA,76.62,broken clouds,48.7834,-87.1,Drifters Motel & Restaurant
284,Cedar City,US,86.97,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
291,Lorengau,PG,82.85,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
294,Kutum,SD,78.62,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
295,Natal,BR,75.85,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
296,Uribia,CO,82.6,overcast clouds,11.7139,-72.266,Hotel Uribia
299,Itoman,JP,75.58,light rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
300,Sawakin,SD,82.53,scattered clouds,19.1059,37.3321,فندق الدويم
302,Kalmunai,LK,80.33,overcast clouds,7.4167,81.8167,VS Villa
309,Banda Aceh,ID,79.2,overcast clouds,5.5577,95.3222,Sulthan Hotel International
313,Crestview,US,85.08,few clouds,30.7621,-86.5705,"Holiday Inn Express & Suites Crestview South I-10, an IHG Hotel"
315,Martinsville,US,86.68,broken clouds,36.6915,-79.8725,Hampton Inn Martinsville
319,Cap Malheureux,MU,75.69,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
320,Tabuk,PH,75.79,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
326,Zhuhai,CN,82.18,few clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
330,Bull Savanna,JM,80.35,few clouds,17.8868,-77.5902,Big Red's
333,Kantunilkin,MX,85.95,scattered clouds,21.0917,-87.45,Posada Paraiso
337,Ciudad Guayana,VE,76.62,broken clouds,8.3533,-62.6528,Hotel Las Americas
338,Bobcaygeon,CA,83.48,few clouds,44.5462,-78.542,The Bobcaygeon Inn
341,Kihei,US,86.02,few clouds,20.785,-156.4656,Maui Sunset
344,Mattru,SL,76.14,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
348,Porbandar,IN,84.67,clear sky,21.6422,69.6093,Lords Inn Porbandar
353,Kloulklubed,PW,77.5,light rain,7.0419,134.2556,Storyboard Beach Resort
354,Half Moon Bay,US,83.12,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
355,Bambous Virieux,MU,75.45,light rain,-20.3428,57.7575,Casa Tia Villa
363,Waingapu,ID,77.5,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
368,Lock Haven,US,89.98,few clouds,41.137,-77.4469,Fairfield Inn & Suites by Marriott Lock Haven
371,Almeirim,BR,79.39,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
